name,id,PhoneNumber,email,role,researchInterest,avatar
Mo,224c4484-6899-4ad0-92f3-fb6965cdc3b1,05363121,12781271@dsf.com,TEAM_MEMBER,AI no,imaeg.com/12
Hamoud,bbf39e55-4500-4729-b502-1c755c0150ba,0531256235,kfupm@dsf.com,TEAM_MEMBER,AI no,imaeg.com/12
Yahia Saleh,86547a00-4bbc-4612-b6ef-7119b57b42cf,053128941,kfupm222@dsf.com,TEAM_MEMBER,UI,imaeg.com/1212
Yahia Saleh,55771cbb-9674-4c40-8f33-64f35e605688,053128941,kfupm222@dsf.com,TEAM_MEMBER,UI,imaeg.com/1212
Yahia Saleh,1d9b9fcb-bbd8-4a89-858a-854eb4a9079f,053128941,kfupm222@dsf.com,TEAM_MEMBER,UI,imaeg.com/1212
oMAR,29c82165-5c02-4e90-9e52-f152aa8b1ea6,05318912689,sdsa2@dsf.co,TEAM_MEMBER,UI/ux,https://avatars.githubusercontent.com/u/13651651?v=4
Ali,f69a8d8f-c34a-4789-9fb3-400db0925189,05318912689,sdsa2@dsf.co,TEAM_MEMBER,UI/ux,https://avatars.githubusercontent.com/u/13651651?v=4
Mahmoud Ali,a5e4f92c-e038-4b5e-b1ab-0821028d848b,05376128,mr@sdfj.com,ADMIN,,google.com
Khatib,de0599c5-2a63-465b-8153-12c30e076bfd,05376123,kh@sdfj.com,ADMIN,,https://avatars.githubusercontent.com/u/13651651?v=4
Sleh,1a5c3634-f7ab-478c-937f-cb6603ced40b,05371213,ss@sdfj.com,TEAM_MEMBER,UX/UI and AI,https://avatars.githubusercontent.com/u/13651651?v=4
Azooz,1b17aa2c-507f-4a67-984e-53176c6ca506,053711341,az@sdfj.com,TEAM_MEMBER,UX/UI and AI,https://avatars.githubusercontent.com/u/13651651?v=4
Ali Saleh,b6bab47c-2b14-4839-b013-69a161eb7895,0537111213,as@sdfj.com,TEAM_MEMBER,CS,https://avatars.githubusercontent.com/u/13651651?v=4
Mahmoud Alhussen,1b17aa2c-507f-4a67-984e-53176c6ca506,053711341,ma@googlo.com,TEAM_MEMBER,UX/UI and AI,https://avatars.githubusercontent.com/u/13651651?v=4
